Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Available/Capacity,Credits,Academic Level,Monday,Tuesday,Wednesday,Thursday,Friday,Lecture,Lab,Seminar,DE,Morning,Afternoon,# of Meetings
Fall 2022,Open,CHEM*3750*0111 (7137) Organic Chemistry II,Guelph,"['LEC Tues, Thur\n08:30AM - 09:50AM\nMCKN, Room 117', 'LAB Thur\n02:30PM - 05:20PM\nSSC, Room 2111', 'EXAM Tues\n02:30PM - 04:30PM (2022/12/13)\nRoom TBA']",D. O'Flaherty,2 / 14,0.50,Undergraduate,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Open,CHEM*3750*0113 (7139) Organic Chemistry II,Guelph,"['LEC Tues, Thur\n08:30AM - 09:50AM\nMCKN, Room 117', 'LAB Thur\n07:00PM - 09:50PM\nSSC, Room 2111', 'EXAM Tues\n02:30PM - 04:30PM (2022/12/13)\nRoom TBA']",D. O'Flaherty,1 / 14,0.50,Undergraduate,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CHEM*3750*01XX (7141) Organic Chemistry II,Guelph,"['LEC Tues, Thur\n08:30AM - 09:50AM\nMCKN, Room 117', 'LAB Days TBA\nTimes TBA\nRoom TBA', 'EXAM Tues\n02:30PM - 04:30PM (2022/12/13)\nRoom TBA']",D. O'Flaherty,0 / 0,0.50,Undergraduate,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,2
Fall 2022,Open,CHEM*3860*0101 (7142) Quantum Chemistry,Guelph,"['LEC Mon, Wed\n08:30AM - 09:50AM\nMCKN, Room 309', 'SEM Wed\n02:30PM - 03:20PM\nMCKN, Room 309', 'EXAM Mon\n08:30AM - 10:30AM (2022/12/12)\nRoom TBA']",L. Chen,13 / 29,0.50,Undergraduate,Yes,,Yes,,,Yes,,Yes,,Yes,Yes,3
Fall 2022,Open,CHEM*4620*01 (7143) Adv. Topics in Inorganic Chem.,Guelph,"['LEC Mon, Wed, Fri\n10:30AM - 11:20AM\nMINS, Room 101']",D. Soldatov,21 / 25,0.50,Undergraduate,Yes,,Yes,,Yes,Yes,,,,Yes,Yes,3
Fall 2022,Open,CHEM*4730*01 (7144) Synthetic Organic Chemistry,Guelph,"['LEC Tues, Thur\n11:30AM - 12:50PM\nMCLN, Room 101', 'EXAM Thur\n08:30AM - 10:30AM (2022/12/15)\nRoom TBA']",W. Tam,24 / 40,0.50,Undergraduate,,Yes,,Yes,,Yes,,,,Yes,Yes,2
Fall 2022,Open,CHEM*4740*01 (7145) Topics in Bio-Organic Chem,Guelph,"['LEC Mon, Wed, Fri\n08:30AM - 09:20AM\nMCKN, Room 228', 'EXAM Mon\n08:30AM - 10:30AM (2022/12/12)\nRoom TBA']",D. O'Flaherty,6 / 30,0.50,Undergraduate,Yes,,Yes,,Yes,Yes,,,,Yes,Yes,3
Fall 2022,Open,CHEM*4900*01 (7146) Chemistry Research Project I,Guelph,['LAB Days TBA\nTimes TBA\nRoom TBA'],TBA  TBA,3 / 15,1.00,Undergraduate,,,,,,,Yes,,,,,0
Fall 2022,Open,CHEM*4910*01 (7147) Chemistry Research Project II,Guelph,['LAB Days TBA\nTimes TBA\nRoom TBA'],TBA  TBA,6 / 10,1.00,Undergraduate,,,,,,,Yes,,,,,0
Fall 2022,Open,CHEM*7100*01 (7148) Topics in Inorganic Chemistry,Guelph,"['LEC Mon\n07:00PM - 09:50PM\nAD-S, Room VIRTUAL']",TBA  TBA,9 / 10,0.50,Graduate,Yes,,,,,Yes,,,,,Yes,1
